@RELATION stress
@ATTRIBUTE VERTICAL_AVERAGE_PRESSURE NUMERIC
@ATTRIBUTE VERTICAL_AVERAGE_SIZE NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_TIME_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_INTERACTION_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_INTERACTION NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_CENTER NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_TOP_LEFT NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY_SUM_EVERY_POINT NUMERIC
@ATTRIBUTE class {no-stress, stress}
@data
0.5750000178813934,0.28333334624767303,3.0,57.0,3.0,0.05263157894736842,0.05263157894736842,458.5941049664899,1481.8002766414797,0.0,0.0,stress
0.673214282308306,0.37142859612192425,1178.0,82.0,295.9674339793589,14.365853658536585,3.609358950967791,292.18041645257966,1278.1345086717447,24.0,38.0,stress
0.6375000278155009,0.36666668951511383,6.0,91.0,7.4787086646190755,0.06593406593406594,0.08218361169911072,380.4241054969964,1411.7825634305545,4.0,4.0,stress
0.6031250134110451,0.3500000163912773,440.0,115.0,209.20591676709148,3.8260869565217392,1.8191818849312302,303.60113009099746,1290.1985694134278,36.0,36.0,stress
0.6208333472410837,0.30000001192092896,119.0,82.0,96.06359386839209,1.451219512195122,1.1715072422974646,296.8050242493053,1328.2942217837215,60.0,60.0,stress
0.6222222248713175,0.3185185293356578,1093.0,107.0,201.7241953056048,10.214953271028037,1.8852728533234093,468.33494265020965,1459.2756519812924,14.0,18.0,stress
0.59375,0.3083333447575569,536.0,107.0,147.035348501057,5.009345794392523,1.374162135523897,311.6058651361755,1330.4236069048834,2.0,2.0,stress
0.6281249970197678,0.3333333432674408,1083.0,107.0,272.9347905567446,10.121495327102803,2.5507924351097624,450.2152071959933,1384.7361683003182,42.0,46.0,stress
0.6406250298023224,0.3333333432674408,725.0,90.0,197.89077134076285,8.055555555555555,2.198786348230698,386.2660252038258,1364.8052626152717,49.0,51.0,stress
0.5928571394511631,0.3142857253551483,470.0,82.0,198.7477132475189,5.7317073170731705,2.423752600579499,449.4896374252323,1428.1774366871,41.0,43.0,stress
0.644444465637207,0.35555557409922284,802.0,107.0,232.99081909155998,7.4953271028037385,2.177484290575327,365.8896853315167,1334.0488535168515,13.0,13.0,stress
0.6430555780728658,0.3333333432674408,635.0,124.0,218.58752630465835,5.120967741935484,1.7628026314891803,420.08454769248647,1370.2238986611353,19.0,23.0,stress
0.6041666865348816,0.35555557409922284,1052.0,107.0,255.3104025233577,9.83177570093458,2.3860785282556796,354.93343713095817,1316.9358177157078,7.0,17.0,stress
0.59375,0.30000001192092896,1.0,40.0,2.0,0.025,0.05,404.3451200494802,1413.139410594164,1.0,1.0,stress
0.5921875089406967,0.3500000163912773,965.0,99.0,306.31123420723253,9.747474747474747,3.0940528707801267,401.1356761168633,1318.5211007309722,2.0,12.0,stress
0.6187500134110451,0.3500000163912773,650.0,99.0,283.4858145999834,6.565656565656566,2.8634930767675093,387.559757595782,1338.171258811801,27.0,27.0,stress
0.6482142891202655,0.38095240933554514,777.0,90.0,159.1716874442779,8.633333333333333,1.768574304936421,276.8134630207834,1287.1368173920532,54.0,54.0,stress
0.6109375134110451,0.3083333447575569,734.0,98.0,199.36075065569273,7.489795918367347,2.0342933740376807,376.7632130474878,1414.0043152463297,62.0,62.0,stress
0.5821428639548165,0.3428571564810617,481.0,82.0,206.1529843965837,5.865853658536586,2.514060785324191,319.4133937975598,1340.5347113248906,6.0,6.0,stress
0.6262499988079071,0.32000001072883605,314.0,132.0,154.68894126018847,2.378787878787879,1.1718859186377915,416.9520196874576,1365.3174185095636,31.0,31.0,stress
0.5375000014901161,0.3166666775941849,598.0,107.0,199.4554728891758,5.588785046728972,1.8640698400857552,470.35804537979857,1419.7246219092644,19.0,29.0,stress
0.6437500268220901,0.3750000260770321,249.0,106.0,163.1121153403833,2.349056603773585,1.5387935409470122,405.07873898885316,1429.7791677777848,40.0,40.0,stress
0.675000011920929,0.3777778049310048,487.0,82.0,108.88112076425914,5.939024390243903,1.3278185459055993,339.34090279217,1375.1879572539792,53.0,53.0,stress
0.6604166726271311,0.3777778049310048,1188.0,73.0,186.97268700937028,16.273972602739725,2.561269685059867,359.52733789542543,1374.6870358081842,37.0,39.0,stress
0.6450000166893005,0.34666668176651,3.0,65.0,5.23606797749979,0.046153846153846156,0.08055489196153523,376.09545101441506,1389.7887644787284,4.0,4.0,stress
0.6152777870496114,0.34074075354470146,455.0,123.0,239.84756007081495,3.6991869918699187,1.9499801631773572,373.2454853722933,1354.7224611862323,29.0,29.0,stress
0.6343750059604645,0.3333333432674408,1.0,90.0,2.0,0.011111111111111112,0.022222222222222223,364.84923704465655,1370.1908604127407,1.0,1.0,stress
0.6625000105963813,0.3777778049310048,458.0,107.0,357.2566772558873,4.280373831775701,3.338847450989601,379.6880123204875,1315.9699138142869,37.0,71.0,stress
0.6234375089406967,0.3083333447575569,544.0,124.0,160.2335151245503,4.387096774193548,1.2922057671334701,435.2137672477558,1386.6353425090074,40.0,40.0,stress
0.6597222354676988,0.3925926188627879,490.0,107.0,231.90311865930744,4.579439252336448,2.1673188659748357,157.11905781757048,1144.0249264528302,62.0,62.0,stress
0.6214285748345512,0.3333333432674408,794.0,99.0,177.71592238181017,8.02020202020202,1.7951103270889917,243.26974211471497,1279.9186194737324,44.0,44.0,stress
0.5708333452542623,0.2888889014720917,1.0,49.0,1.4142135623730951,0.02040816326530612,0.02886150127292031,329.00228705466014,1365.8545020619476,1.0,1.0,stress
0.5625000170298985,0.3047619163990021,1008.0,74.0,205.0147303621067,13.621621621621621,2.770469329217658,330.16658635342685,1258.4542512138846,2.0,2.0,stress
0.6145833432674408,0.31111112236976624,64.0,74.0,28.80465404378149,0.8648648648648649,0.38925208167272285,361.8885278654275,1284.9253162115235,9.0,9.0,stress
0.5861111084620158,0.3333333432674408,261.0,115.0,203.1145674573612,2.2695652173913046,1.7662136300640106,455.7282136415714,1419.2398672032368,32.0,38.0,stress
0.6265625208616257,0.35833335295319557,325.0,99.0,297.5087337586101,3.282828282828283,3.0051387248344454,366.77609168705885,1258.3637284581841,33.0,35.0,stress
0.589285705770765,0.3333333432674408,670.0,91.0,202.400900228412,7.362637362637362,2.2241857167957364,406.81046592650694,1421.4741788593308,56.0,58.0,stress
0.5328125059604645,0.3166666775941849,236.0,99.0,108.46849418309704,2.3838383838383836,1.0956413553848185,481.38973491329955,1429.8322361087655,23.0,29.0,stress
0.6343750059604645,0.3333333432674408,828.0,91.0,229.95098185500862,9.098901098901099,2.526933866538556,428.1586082950894,1406.7207721424097,62.0,64.0,stress
0.5625000149011612,0.3083333447575569,652.0,98.0,171.22416940253572,6.653061224489796,1.747185402066691,481.93679462483317,1506.1316706338807,64.0,66.0,stress
0.5999999940395355,0.3083333447575569,449.0,99.0,184.54172384533712,4.5353535353535355,1.864057816619567,386.35979750687477,1387.6951908805959,61.0,61.0,stress
0.6109375134110451,0.3500000163912773,767.0,98.0,202.1432262561651,7.826530612244898,2.062685982205766,274.4457519838048,1288.7976799101602,70.0,70.0,stress
0.6291666825612386,0.35555557409922284,1.0,90.0,1.0,0.011111111111111112,0.011111111111111112,307.13584804469735,1321.2313732485666,0.0,0.0,stress
0.5964285901614598,0.3523809696946825,459.0,82.0,131.29843809055757,5.597560975609756,1.6012004645189948,248.8238942895744,1243.0520674364673,18.0,18.0,stress
0.5100000262260437,0.3066666781902313,28.0,82.0,14.705481427033435,0.34146341463414637,0.17933513935406628,495.830311589728,1017.838859534598,8.0,8.0,stress
0.5750000029802322,0.3166666813194752,1171.0,90.0,213.36793892466363,13.011111111111111,2.370754876940707,310.93393148106503,1248.4718894314542,5.0,9.0,stress
0.6062500029802322,0.3083333447575569,411.0,90.0,280.6488849061059,4.566666666666666,3.1183209434011765,380.6552346807613,1332.6126334014302,10.0,32.0,stress
0.6062500059604645,0.32000001072883605,501.0,140.0,276.65077809152433,3.5785714285714287,1.976076986368031,430.7006933861921,1363.9624597718607,61.0,65.0,stress
0.6222222314940559,0.3333333432674408,165.0,123.0,170.70408704682706,1.3414634146341464,1.3878381060717646,384.44053928801765,1347.9151712993157,5.0,23.0,stress
